Business Tenant (or most recent if vacant),Address,Type of Business,type_dc_categories,SSL,Use Code,Property Owner (as listed in https://mytax.dc.gov/_/#10),Most Recent Sale (Year),Most Recent Sale ($),Most Recent Sale Notes,Land Area (square feet),Tax Class,Land Value - 2025,Building Value - 2025,Assessment Value (Total),Tax Relief,Location Bonus,Latitude,Longitude,Vacant Flag,Notes
6Co Eatery,"1916 Martin Luther King Jr. Ave SE, Washington, DC",Restaurant,Food Services,5769- -0869,041 - Store-Small (1 Story),"RUMA, KAWSUR A",2022,500000,,1393,2 - Commercial,101760,205740,307500,,,38.86705,-76.9886,0,
ABG Mart,"2216 Martin Luther King Jr. Ave SE, Washington, DC",Convenience Store,Food Services,5791- -0004,042 - Store-Miscellaneous,SUGIL LIMITED LIABILITY COMPANY,2017,525000,,2787,2 - Commercial,171600,424470,596070,,,38.86426,-76.9898,0,
Above Standard Cleaning Company,"1920 Naylor Rd SE, Washington, DC",Cleaning Service,General Sales/Services Business,,,,,,,,,,,,,,38.87304,-76.9769,0,Many properties listed at 1920 Naylor Rd SE (maybe condos?)
Anacostia Organics,"2022 Martin Luther King Jr. Ave SE, Washington, DC",Medical Cannabis Dispensary,"Regulated Business (funeral home, health spa, auto repair)",5773- -1023,042 - Store-Miscellaneous,J ROBERTS INVESTMENTS LLC,2012,330000,,5064,2 - Commercial,267380,570450,837830,,,38.8659,-76.9891,0,
Best Buffalo Wings and Seafood ,"1916 Martin Luther King Jr Ave SE, Washington, DC",Restaurant,Food Services,5769- -0869,041 - Store-Small (1 Story),"RUMA, KAWSUR A",2022,500000,,1393,2 - Commercial,101760,205740,307500,307500,,38.86705,-76.9886,0,
Busboys and Poets,"2004 Martin Luther King Jr Ave SE, Washington, DC",Restaurant,Food Services,5773- -1024,049 - Commercial-Retail (Miscellaneous),FAR SOUTHEAST FAMILY STRENGTHENING COLLABORATIVE,,,,11473,2 - Commercial,463050,1707210,2170260,,,38.86626,-76.9888,0,
Caribbean Citations,"1412 Marion Barry Ave SE, Washington, DC",Restaurant,Food Services,"
5605- -0822",041 - Store-Small (1 Story),"NIKOLOW, DAVID",2003,115000,,2716,2 - Commercial,167390,298650,466040,,,38.86688,-76.9847,0,
Central Pharmacy Inc,"2202 Martin Luther King Jr. Ave SE, Washington, DC",Pharmacy,Health Services,5791- -0011,042 - Store-Miscellaneous,"NELSON, DELMUS
NELSON, DELMUS J",2024,,"Sales Code:
Buyer = Seller
Sales Type:
Improved",,3 - Vacant,,,,,,38.86469,-76.9896,1,
Charnice Milton Community Bookstore,"1918 Martin Luther King Jr. Ave SE, Washington, DC",Bookstore,General Sales/Services Business,5769- -0851,041 - Store-Small (1 Story),CHECK IT ENTERPRISES LLC,2022,447120,,1900,2 - Commercial,124530,533410,657940,,,38.86699,-76.9886,0,
Community Wellness Ventures ,"1930 Martin Luther King Jr Ave SE, Washington, DC",Health Services,Health Services,5769- -0039,049 - Commercial-Retail (Miscellaneous),Q REALTY HOLDINGS LLC,2000,,,2251,2 - Commercial,139610,192860,332470,,,38.86672,-76.9887,0,
